titulo,popularidade,nota_media,generos
O Senhor dos Anéis: As Duas Torres,16.3115,8.4,"Aventura, Fantasia, Ação"
Missão: Impossível - Acerto de Contas Parte 1,16.2402,7.518,"Aventura, Ação, Thriller"
Meu Ano em Oxford,16.2006,7.069,"Drama, Comédia, Romance"
Batman vs Superman: A Origem da Justiça,16.1854,5.986,"Ação, Aventura, Fantasia"
O Bordel de Paprika,16.1471,7.142,Drama
유령,16.1305,6.95,"Crime, Ação, Thriller"
Zootopia: Essa Cidade é o Bicho,16.0764,7.8,"Comédia, Aventura, Animação, Família"
동창회의 목적,15.9878,6.4,"Drama, Romance"
Homem-Aranha: Longe de Casa,15.9514,7.402,"Ficção científica, Aventura, Ação"
A Criada,15.8579,8.2,"Romance, Drama, Thriller"
Guerra nas Estrelas,15.8557,8.2,"Ação, Aventura, Ficção científica"
Dora e a Busca pelo Sol Dourado,15.8548,6.6,"Aventura, Comédia, Família"
Fermo posta Tinto Brass,15.8409,5.974,Comédia
LSD -ラッキースカイダイアモンド-,15.8138,3.6,"Terror, Ficção científica"
Gladiador,15.7725,8.22,"Ação, Aventura, Drama"
Forrest Gump: O Contador de Histórias,15.7652,8.466,"Romance, Comédia, Drama"
Las niñas bien,15.7423,6.526,Drama
Sacramento,15.731,6.2,"Drama, Comédia"
Anora,15.711,7.055,"Comédia, Drama, Romance"
Monstros S.A.,15.6818,7.846,"Comédia, Família, Animação"
"Honey, Não!",15.6541,5.8,"Crime, Comédia"
Extermínio,15.6476,7.235,"Ficção científica, Thriller, Terror"
Terrifier 3,15.6332,6.8,"Thriller, Terror"
Planeta dos Macacos: O Confronto,15.6331,7.334,"Thriller, Ação, Drama, Ficção científica"
Ghostbusters: Apocalipse de Gelo,15.6115,6.5,"Comédia, Fantasia, Aventura"
Garota Exemplar,15.6032,7.89,"Thriller, Drama, Mistério"
Os Bad Boas,15.6028,5.898,"Crime, Mistério, Ação, Comédia"
Liga da Justiça de Zack Snyder,15.564,8.108,"Ação, Aventura, Fantasia"
O Estranho Natal de Jack e Sally,15.5425,7.835,"Animação, Fantasia, Família"
또 다른 사육,15.5376,6.0,Romance
Vingadores: Era de Ultron,15.519,7.271,"Ação, Aventura, Ficção científica"
"Locos de amor, mi primer amor",15.5142,4.0,"Comédia, Música"
Amigas Curtindo Adoidado,15.5139,6.1,"Romance, Drama, Comédia"
A Mulher Rei,15.4817,7.642,"Ação, Drama, História"
El cielo de los animales,15.4485,0.0,"Drama, Fantasia"
Furiosa: Uma Saga Mad Max,15.4402,7.465,"Ação, Aventura, Ficção científica"
Beleza Adormecida,15.4381,5.4,"Drama, Romance"
Um Homem sem Passado,15.4293,6.56,"Drama, Ação"
Kung Fu Panda,15.373,7.3,"Aventura, Animação, Ação, Comédia, Família"
Garfield - Fora de Casa,15.3723,7.039,"Comédia, Família, Aventura, Animação"
Guardiões da Galáxia: Vol. 3,15.357,7.93,"Ficção científica, Comédia, Ação, Aventura"
O Espetacular Homem-Aranha 2: A Ameaça de Electro,15.3516,6.523,"Ação, Aventura, Ficção científica"
Das Geheimnis der Hebamme,15.3472,6.7,"Drama, História, Cinema TV"
Green Book: O Guia,15.3133,8.227,"Comédia, Drama, História"
Divertida Mente,15.2811,7.91,"Comédia, Animação, Aventura, Drama, Família"
Gênio Indomável,15.2576,8.157,Drama
A Saga Crepúsculo: Lua Nova,15.2487,5.992,"Romance, Fantasia, Aventura, Drama"
"Jean-Claude Van Damme, coup sur coup",15.2359,7.179,"Documentário, Cinema TV"
Modus Anomali,15.225,5.6,"Terror, Mistério"
Frankenstein de Mary Shelley,15.2111,6.442,"Ficção científica, Drama, Terror, Romance"
